CATALOGO SEMESTRE:2023-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
DETALLE DE ASIGNATURAS,,,,,,,,,
Nro,CURSO,NOMBRE DE CURSO,,CR,CAT,REQUISITO,N° SEM,OBS,CURRICULA
33,ME186AEO,MATEMÁTICAS PARA ECONOMISTAS II,,4,OEFE,ME185,3,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,ESPINOZA-YABAR-MARITZA,MA,[09-11],T,,VIRT 2 EO,2,
,,ESPINOZA-YABAR-MARITZA,JU,[09-11],P,,VIRT 2 EO,2,
,,ESPINOZA-YABAR-MARITZA,VI,[10-11],T,,VIRT 2 EO,1,
34,ME186BEO,MATEMÁTICAS PARA ECONOMISTAS II,,4,OEFE,ME185,3,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,VILLAVICENCIO-SUNA-PERCY MARCO,MA,[16-18],T,,VIRT 2 EO,2,
,,VILLAVICENCIO-SUNA-PERCY MARCO,JU,[16-18],P,,VIRT 2 EO,2,
,,VILLAVICENCIO-SUNA-PERCY MARCO,VI,[17-18],T,,VIRT 2 EO,1,
35,ME186CEO,MATEMÁTICAS PARA ECONOMISTAS II,,4,OEFE,ME185,3,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,HERRERA-VARGAS-MARCO ANTONIO,MA,[09-11],T,,EC-306,2,
,,HERRERA-VARGAS-MARCO ANTONIO,JU,[09-11],P,,EC-306,2,
,,HERRERA-VARGAS-MARCO ANTONIO,VI,[10-11],T,,EC-201,1,
36,EC600AEO,MICROECONOMÍA I,,4,OEFE,EC902 y ME185,3,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,ALATRISTA-GIRONZINI-MERIDA M.,LU,[07-09],T,,EC-303,2,
,,ALATRISTA-GIRONZINI-MERIDA M.,MI,[07-09],P,,EC-303,2,
,,ALATRISTA-GIRONZINI-MERIDA M.,VI,[07-08],T,,EC-303,1,
37,EC600BEO,MICROECONOMÍA I,,4,OEFE,EC902 y ME185,3,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,PAULLO-TISOC-ROCIO,LU,[14-16],T,,EC-201,2,
,,PAULLO-TISOC-ROCIO,MI,[14-16],P,,EC-201,2,
,,PAULLO-TISOC-ROCIO,VI,[14-15],T,,EC-201,1,
38,EC021AEO,ACTIVIDADES DE EXTENSIÓN Y PROYECCIÓN SOCIAL,,2,AEC,EC020,4,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,SOMOCURCIO-ALARCON-LIGIA I.,MA,[11-13],T,,EC-204,2,
,,SOMOCURCIO-ALARCON-LIGIA I.,VI,[11-13],P,,EC-204,2,
39,EC021BEO,ACTIVIDADES DE EXTENSIÓN Y PROYECCIÓN SOCIAL,,2,AEC,EC020,4,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,BECERRA-CORDOVA-VICTOR RAUL VICENTE,MA,[18-20],T,,EC-204,2,
,,BECERRA-CORDOVA-VICTOR RAUL VICENTE,VI,[18-20],P,,EC-204,2,
40,EC603AEO,ECONOMETRÍA I,,4,OEFE,ME176,4,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,CASTILLO-MAMANI-WILBERTH,MA,[09-11],T,,EC-204,2,
